connection,panel,receiver,provenance,purpose,direction_xyz,x_mm,panel_s_or_z_mm,grain_station_mm,receiver_low_end_distance_mm,receiver_high_end_distance_mm,receiver_face_edge_distance_mm,nearest_panel_edge_mm,gross_penetration_mm,nominal_embedded_thread_mm,future_insert_reserve_passed_historical,maximum_withdrawal_n,withdrawal_case,maximum_lateral_n,lateral_case,proven_removable,candidate_300_action,candidate_remove_all_infill_action,nearest_same_panel_receiver_spacing_mm,nearest_all_panel_same_receiver_spacing_mm
timber_panel_upper_left_1,main_upper_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,1279.2,1439.9898227274118,1294.3037933611959,1159.2,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,21.25912585265319,c10-k100,1495.2850360984808,c10-k10000,False,keep,keep,346.39999999999964,120.00000000000023
timber_panel_upper_left_2,main_upper_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,2338.3999999999996,2499.1898227274114,2353.5037933611998,100.00000000000045,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,105.28373823889868,c10-k100,682.0867258784332,c10-k10000,False,keep,keep,306.39999999999964,306.39999999999964
timber_panel_upper_left_3,main_upper_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,1259.2,1419.9898227274118,1274.303793361196,1141.1000000000001,19.050000000000004,40.0,32.543749999999996,31.496,True,68.21350170195873,f10-k1000,388.6270571726144,c10-k10000,False,keep,keep,110.4666666666667,110.4666666666667
timber_panel_upper_left_4,main_upper_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,2290.3999999999996,2451.189822727412,2305.5037933611998,109.90000000000009,19.050000000000004,70.0,32.543749999999996,31.496,True,66.45503753000763,f10-k1000,537.1634645169798,f10-k1000,False,keep,keep,149.70000000000027,149.70000000000027
timber_panel_upper_left_5,main_upper_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,1625.5999999999997,1786.3898227274115,1640.703793361197,812.8000000000004,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,324.8671741451163,c10-300lb,659.8811155030775,c10-k10000,False,keep,keep,346.39999999999964,346.39999999999964
timber_panel_upper_left_6,main_upper_left,base_side_left,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-1200.15,2031.9999999999998,2192.789822727412,2047.1037933611988,406.4000000000001,19.049999999999955,19.049999999999955,32.543749999999996,31.496,True,427.9108635594481,c10-300lb,528.4685629531979,c10-k10000,False,keep,keep,306.39999999999964,306.39999999999964
timber_panel_upper_left_7,main_upper_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,1590.5999999999997,1751.3898227274115,1605.7037933611969,809.7000000000005,19.050000000000004,70.0,32.543749999999996,31.496,True,74.51571931099087,c7-k1000,67.59271842583033,c10-k100,False,keep,keep,110.46666666666647,110.46666666666647
timber_panel_upper_left_8,main_upper_left,base_principal_center_left,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",-70.0,1990.9999999999998,2151.7898227274113,2006.1037933611983,409.30000000000064,19.050000000000004,70.0,32.543749999999996,31.496,True,1064.3932766175535,f10-k1000,317.3000331742042,f10-k1000,False,keep,keep,133.46666666666647,133.46666666666647
timber_panel_upper_left_11,main_upper_left,base_rail_top,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-819.1500000000001,2419.3499999999995,-819.1500000000001,361.95000000000005,2000.2500000000002,19.049999999999912,19.050000000000637,32.543749999999996,31.496,True,382.80563579065824,c10-k10000,715.5959051698887,c10-k10000,False,keep,keep,381.0,381.0
timber_panel_upper_left_12,main_upper_left,base_rail_top,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-438.1500000000001,2419.3499999999995,-438.1500000000001,742.95,1619.2500000000002,19.049999999999912,19.050000000000637,32.543749999999996,31.496,True,490.4488945236512,c10-300lb,643.3447840536941,c10-k10000,False,keep,keep,381.0,381.0
